title,Bag_of_words
"Hush, Hush", youngadult fantasy beccafitzpatrick sacred oatha fallen angela forbidden loveromance part nora grey plan never particularly attracted boy school matter hard best friend vee push patch come along easy smile eye seem see inside draw better judgment series
The Cat in the Hat, childrens childrens dr.seuss new rhymed bilingual edition cat hat perfect introduction spanish speaking child wonderful world dr seuss larger size trim accommodate english text translation written puerto rican poet book author georgina lázaro teresa mlawer -- one respected
Holes, youngadult fiction louissachar stanley yelnats curse began good dirty rotten pig stealing great grandfather since followed generation unjustly sent boy ’ detention center camp green lake build character spending day every digging hole exactly five foot wide deep
"The Hobbit, or There and Back Again", fantasy classics j.r.r.tolkien douglasa.anderson (annotater) hole ground lived hobbit nasty dirty wet filled end worm oozy smell yet dry bare sandy nothing sit eat mean comfort written j r tolkien ’ child met instant critical acclaim first published 1937
American Gods, fantasy fiction neilgaiman day release prison shadow wife laura dy mysterious car crash numbly make way back home plane encounter enigmatic mr wednesday claim refugee distant war former god king america together embark profoundly strange journey across heart usa whilst around
Watchmen, sequentialart graphicnovels alanmoore davegibbons (illustrator/letterer) johnhiggins (colorist) hugo award winning graphic novel chronicle fall grace group super hero plagued human failing along way concept hero dissected stalked unknown assassin one influential novel time perennial best seller watchman studied college campus across
Lonesome Dove, fiction historical larrymcmurtry love story adventure epic frontier larry mcmurtry ’ pulitzer prize — winning classic lonesome dove third book tetralogy grandest novel ever written last defiant wilderness america journey dusty little texas town meet unforgettable assortment hero outlaw whore
The Addiction Manifesto, nonfiction jerryweaver j.r.weaver 2020 international book award finalist health addiction recovery2021 literary titan silver award people believe ok journey manifesto uniquely designed provide new perspective recovery show anything possible deeply personal
The Divine Comedy, poetry fiction dantealighieri allenmandelbaum (translator) eugeniomontale (introduction) williamblake (illustrator) henryfranciscary (translation) alexstruik (illustrations) charleseliotnorton (translator) divine comedy describes dante descent hell virgil guide ascent mount purgatory encounter dead love beatrice finally arrival heaven examining question faith desire enlightenment poem brilliantly nuanced moving allegory human redemption alighieri born florence 1265 belonge
The Little House Collection, classics historical lauraingallswilder garthwilliams (illustrator) nine book paperback box set classic series feature black white artwork garth williams book timeless little house tell story laura ’ real childhood american pioneer cherished reader generation offer unique glimpse life frontier heartwarming
Peter Pan, classics fantasy j.m.barrie michaelhague (illustrator) peter pan j barrie mischievous boy refuse grow land darling proper middle class home look shadow befriends wendy john michael teach fly little help fairy dust ). tinker bell whisk never land encounter red indian lost boy pirate
Love in the Time of Cholera, fiction classics gabrielgarcíamárquez edithgrossman (translator) youth florentino ariza fermina daza fall passionately love eventually chooses marry wealthy well born doctor heartbroken romantic rise business career while away year 622 affair — yet reserve heart husband dy last purposefully attends
The Thorn Birds, fiction historical colleenmccullough thorn bird robust romantic saga singular family clearys begin early part century paddy cleary move wife fiona seven child drogheda vast australian sheep station owned autocratic childless older sister end half later survivor third generat
Insurgent, youngadult sciencefiction veronicaroth one choice transform — destroy every consequence unrest surge faction around tris prior must continue trying save love grappling haunting question grief forgiveness identity loyalty politics love initiation day marked celebration
